"VABC Liquor and Wines Price List Effective Date: April 01, 2017 - June 30, 2017",,,,,,
Description,Code,Brand,Size,Age,Proof,Price
STRAIGHT BOURBON WHISKEY,18350,Four Roses Single Barrel Bourbon,750ml,,100,$44.99 
STRAIGHT BOURBON WHISKEY,18348,Four Roses Small Batch Bourbon,750ml,,90,$37.99 
STRAIGHT BOURBON WHISKEY,18564,Henry Mckenna Bourbon,375ml,4YR,80,$6.69 
STRAIGHT BOURBON WHISKEY,18566,Henry Mckenna Bourbon,750ml,4YR,80,$11.99 
STRAIGHT BOURBON WHISKEY,18567,Henry Mckenna Bourbon,1L,4YR,80,$14.99 
STRAIGHT BOURBON WHISKEY,18568,Henry Mckenna Bourbon,1.75L,4YR,80,$24.99 
STRAIGHT BOURBON WHISKEY,18656,Henry Mckenna Single Barrel Bourbon,750ml,10YR,100,$29.99 
STRAIGHT BOURBON WHISKEY,18604,High West American Prairie Bourbon,750ml,,92,$40.99 
STRAIGHT BOURBON WHISKEY,21597,Hiram Walker's Ten High Bourbon,1L,4YR,80,$10.49 
STRAIGHT BOURBON WHISKEY,21598,Hiram Walker's Ten High Bourbon,1.75L,4YR,80,$17.99 
STRAIGHT BOURBON WHISKEY,18620,Hirsch Small Batch Reserve Bourbon,750ml,,92,$39.99 
STRAIGHT BOURBON WHISKEY,18661,Hudson Baby Bourbon,750ml,,92,$59.99 
STRAIGHT BOURBON WHISKEY,18660,Hudson Baby Bourbon,375ml,,92,$45.99 
STRAIGHT BOURBON WHISKEY,18662,Hudson Four Grain Whiskey,375ml,,92,$45.99 
STRAIGHT BOURBON WHISKEY,18788,I W Harper Bourbon,750ml,,82,$34.99 
STRAIGHT BOURBON WHISKEY,27865,Ironclad Bourbon Whiskey,375ml,,90,$38.69 
STRAIGHT BOURBON WHISKEY,18906,J. R. Ewing Private Reserve Bourbon,750ml,4YR,80,$34.99 
STRAIGHT BOURBON WHISKEY,18928,J.T.S. Brown,1.75L,,80,$18.99 
STRAIGHT BOURBON WHISKEY,19017,Jefferson's Ocean - Aged At Sea,750ml,,90,$79.99 
STRAIGHT BOURBON WHISKEY,19046,Jefferson's Ocean Aged At Sea Cask Strength,750ml,,112,$99.99 
STRAIGHT BOURBON WHISKEY,19006,Jefferson's Reserve Bourbon,750ml,,90,$52.99 
STRAIGHT BOURBON WHISKEY,19044,Jefferson's Reserve Groth Cask Finish,750ml,,90.2,$79.99 
STRAIGHT BOURBON WHISKEY,18997,Jefferson's Reserve Pritchard Hill Bourbon,750ml,,90.2,$79.99 
STRAIGHT BOURBON WHISKEY,19009,Jefferson's Very Small Batch,750ml,,82,$34.99 
STRAIGHT BOURBON WHISKEY,207,Jefferson's Wood Experiment Collection,1L,,92,$99.99 
STRAIGHT BOURBON WHISKEY,19028,Jim Beam Black Bourbon,1.75L,8YR,86,$52.99 
STRAIGHT BOURBON WHISKEY,19027,Jim Beam Black Bourbon,1L,8YR,86,$32.99 
STRAIGHT BOURBON WHISKEY,19026,Jim Beam Black Bourbon,750ml,8YR,86,$22.99 
STRAIGHT BOURBON WHISKEY,16196,Jim Beam Bonded,750ml,,100,$24.99 
STRAIGHT BOURBON WHISKEY,19061,Jim Beam Bourbon,50ml,4YR,80,$1.49 
STRAIGHT BOURBON WHISKEY,19066,Jim Beam Bourbon,750ml,4YR,80,$17.49 
STRAIGHT BOURBON WHISKEY,19067,Jim Beam Bourbon,1L,4YR,80,$20.99 
STRAIGHT BOURBON WHISKEY,19068,Jim Beam Bourbon,1.75L,4YR,80,$32.99 
STRAIGHT BOURBON WHISKEY,19063,Jim Beam Bourbon (plastic),200ml,4YR,80,$5.99 
STRAIGHT BOURBON WHISKEY,19064,Jim Beam Bourbon (plastic),375ml,4YR,80,$9.99 
STRAIGHT BOURBON WHISKEY,19082,Jim Beam Bourbon Operation Homefront (plastic),1.75L,,80,$31.99 
STRAIGHT BOURBON WHISKEY,19111,Jim Beam Devil's Cut Bourbon,375ml,,90,$12.99 
STRAIGHT BOURBON WHISKEY,19112,Jim Beam Devil's Cut Bourbon,750ml,,90,$24.99 
STRAIGHT BOURBON WHISKEY,19115,Jim Beam Devil's Cut Replica,375ml,,90,$12.99 
STRAIGHT BOURBON WHISKEY,19040,Jim Beam Distiller's Masterpiece,750ml,,100,$199.99 
STRAIGHT BOURBON WHISKEY,19048,Jim Beam Double Oak,750ml,,86,$24.99 
STRAIGHT BOURBON WHISKEY,19036,Jim Beam Signature Craft 12 Year Bourbon,750ml,,86,$36.99 
STRAIGHT BOURBON WHISKEY,19037,Jim Beam Signature Craft Quarter Cask Bourbon,750ml,,86,$36.99 
STRAIGHT BOURBON WHISKEY,19116,Jim Beam Single Barrel Bourbon,750ml,,95,$35.99 
STRAIGHT BOURBON WHISKEY,19096,Jim Beam Traveler,750ml,4YR,80,$17.49 
STRAIGHT BOURBON WHISKEY,100218,Jim Beam With State Coasters,750ml,,80,$17.49 
STRAIGHT BOURBON WHISKEY,16706,Jim Beam's Choice Bourbon,750ml,5YR,80,$19.99 
STRAIGHT BOURBON WHISKEY,19120,John B Stetson Bourbon,750ml,,84,$35.59 
STRAIGHT BOURBON WHISKEY,17022,John J Bowman Virginia Straight Bourbon,750ml,,100,$49.99 
STRAIGHT BOURBON WHISKEY,27928,Joseph Magnus Bourbon,750ml,,100,$91.99 
STRAIGHT BOURBON WHISKEY,19341,Kentucky Supreme No. 8 Bourbon,1.75L,,80,$18.49 
STRAIGHT BOURBON WHISKEY,20538,Kentucky Tavern Bourbon,1.75L,4YR,80,$17.79 
STRAIGHT BOURBON WHISKEY,19227,Knob Creek,1L,,100,$45.99 
STRAIGHT BOURBON WHISKEY,19221,Knob Creek,50ml,9YR,100,$3.99 
STRAIGHT BOURBON WHISKEY,19240,Knob Creek 2001 Bourbon,750ml,15YR,100,$126.29 
STRAIGHT BOURBON WHISKEY,19226,Knob Creek Bourbon,750ml,9YR,100,$33.99 
STRAIGHT BOURBON WHISKEY,19228,Knob Creek Bourbon,1.75L,9YR,100,$67.99 
STRAIGHT BOURBON WHISKEY,19224,Knob Creek Bourbon,375ml,9YR,100,$19.99 
STRAIGHT BOURBON WHISKEY,19235,Knob Creek Single Barrel Reserve,750ml,,120,$47.99 
