whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type,alt_brand
Glenfiddich 18yo,8.57,0.38,17,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,18 glenfiddich
Glenfiddich 1963 Original Malt,8.34,0.42,5,$$$$,SingleMalt-like,GH,G,Scotland,Malt,1963 glenfiddich malt original
Glenfiddich 19yo Age of Discovery (Bourbon Cask),8.75,0.28,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,19 age cask discovery glenfiddich of
Glenfiddich 19yo Age of Discovery (Madeira Cask),8.42,0.48,12,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,19 age cask discovery glenfiddich madeira of
Glenfiddich 21yo Gran Reserva,8.66,0.33,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,21 glenfiddich gran reserva
Glenfiddich 26yo Excellence,8.72,0.46,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt,26 excellence glenfiddich
Glenfiddich Cask of Dreams,8.75,0.23,7,$$$$$,SingleMalt-like,EF,F,Scotland,Malt,cask dreams glenfiddich of
Glenfiddich Malt Master's Edition,8.3,0.29,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,edition glenfiddich malt master
Glenglassaugh 26yo,8.53,0.54,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,26 glenglassaugh
Glengoyne 10yo,8.24,0.31,12,$$$,SingleMalt-like,GH,G,Scotland,Malt,10 glengoyne
Glengoyne 12yo,8.53,0.38,10,$$$,SingleMalt-like,ABC,B,Scotland,Malt,12 glengoyne
Glengoyne 12yo Cask Strength,8.58,0.4,10,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,12 cask glengoyne strength
Glengoyne 15yo,8.48,0.54,9,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,15 glengoyne
Glengoyne 17yo,8.45,0.2,11,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,17 glengoyne
Glengoyne 18yo,8.6,0.38,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,18 glengoyne
Glengoyne 21yo,8.87,0.2,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,21 glengoyne
Glengoyne 25yo,9.15,0.27,9,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,25 glengoyne
Glengoyne 40yo,8.94,0.81,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,40 glengoyne
Glengoyne Cask Strength (all batches),8.6,0.5,10,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,all batches cask glengoyne strength
Glengoyne Cask Strength (batch 1),8.74,0.47,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,1 batch cask glengoyne strength
Glengoyne Cask Strength (batch 2),8.69,0.4,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,2 batch cask glengoyne strength
Glengoyne Cask Strength (batch 3),8.49,0.81,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,3 batch cask glengoyne strength
Glengoyne Cask Strength (batch 4),8.53,0.14,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,4 batch cask glengoyne strength
Glengoyne Teapot Dram (all batches),8.84,0.44,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,all batches dram glengoyne teapot
Glenkinchie 12yo,8.27,0.16,14,$$$,SingleMalt-like,GH,G,Scotland,Malt,12 glenkinchie
Glenkinchie Distiller's Edition (all editions),8.41,0.26,13,$$$$,SingleMalt-like,GH,B,Scotland,Malt,distiller edition glenkinchie
Glenlivet 12yo,8.06,0.3,20,$$$,SingleMalt-like,EF,E,Scotland,Malt,12 glenlivet
Glenlivet 15yo French Oak,8.38,0.25,17,$$$$,SingleMalt-like,EF,F,Scotland,Malt,15 french glenlivet oak
Glenlivet 18yo,8.61,0.22,20,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,18 glenlivet
Glenlivet 21yo Archive (all batches),8.82,0.31,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,21 all archive batches glenlivet
Glenlivet Alpha,8.96,0.11,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,alpha glenlivet
Glenlivet Cipher,8.66,0.37,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt,cipher glenlivet
Glenlivet Founder's Reserve,7.93,0.46,12,$$,SingleMalt-like,EF,E,Scotland,Malt,founders glenlivet reserve
Glenlivet Nadurra 16yo,8.87,0.2,21,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,glenlivet nadurra
Glenlivet Nadurra First Fill (White Oak),9.06,0.28,3,$$$$,SingleMalt-like,EF,E,Scotland,Malt,fill first glenlivet nadurra oak white
Glenlivet Nadurra Oloroso,8.32,0.73,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,glenlivet nadurra oloroso
Glenlivet XXV 25yo,8.9,0.17,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 glenlivet xxv
Glenlossie 10yo (F&F),8.17,0.29,9,$$$,SingleMalt-like,GH,G,Scotland,Malt,10 ff glenlossie
Glenmorangie 10yo,8.49,0.45,23,$$$,SingleMalt-like,GH,G,Scotland,Malt,10 glenmorangie
Glenmorangie 18yo,8.69,0.32,14,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,18 glenmorangie
Glenmorangie A Midwinter Nights Dram,8.62,0.35,3,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,a dram glenmorangie midwinter nights
Glenmorangie Companta,8.84,0.57,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,companta glenmorangie
Glenmorangie Dornoch,8.54,0.65,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,dornoch glenmorangie
Glenmorangie Duthac,8.57,0.27,7,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,duthac glenmorangie
Glenmorangie Ealanta,8.89,0.29,14,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt,ealanta glenmorangie
