STRAIGHT BOURBON WHISKEY,19006,Jefferson's Reserve Bourbon,750ml,,90.0,$52.99 ,jefferson reserve,25.36011361330899,52.99 ,
STRAIGHT BOURBON WHISKEY,19044,Jefferson's Reserve Groth Cask Finish,750ml,,90.2,$79.99 ,cask finish groth jefferson reserve,25.36011361330899,79.99 ,
STRAIGHT BOURBON WHISKEY,18997,Jefferson's Reserve Pritchard Hill Bourbon,750ml,,90.2,$79.99 ,hill jefferson pritchard reserve,25.36011361330899,79.99 ,
STRAIGHT BOURBON WHISKEY,19009,Jefferson's Very Small Batch,750ml,,82.0,$34.99 ,batch jefferson small very,25.36011361330899,34.99 ,
STRAIGHT BOURBON WHISKEY,207,Jefferson's Wood Experiment Collection,1L,,92.0,$99.99 ,collection experiment jefferson wood,33.81348481774532,99.99 ,
STRAIGHT BOURBON WHISKEY,19028,Jim Beam Black Bourbon,1.75L,8YR,86.0,$52.99 ,beam black jim,59.17359843105431,52.99 ,8
STRAIGHT BOURBON WHISKEY,19027,Jim Beam Black Bourbon,1L,8YR,86.0,$32.99 ,beam black jim,33.81348481774532,32.99 ,8
STRAIGHT BOURBON WHISKEY,19026,Jim Beam Black Bourbon,750ml,8YR,86.0,$22.99 ,beam black jim,25.36011361330899,22.99 ,8
STRAIGHT BOURBON WHISKEY,16196,Jim Beam Bonded,750ml,,100.0,$24.99 ,beam bonded jim,25.36011361330899,24.99 ,
STRAIGHT BOURBON WHISKEY,19061,Jim Beam Bourbon,50ml,4YR,80.0,$1.49 ,beam jim,1.6906742408872657,1.49 ,4
STRAIGHT BOURBON WHISKEY,19066,Jim Beam Bourbon,750ml,4YR,80.0,$17.49 ,beam jim,25.36011361330899,17.49 ,4
STRAIGHT BOURBON WHISKEY,19067,Jim Beam Bourbon,1L,4YR,80.0,$20.99 ,beam jim,33.81348481774532,20.99 ,4
STRAIGHT BOURBON WHISKEY,19068,Jim Beam Bourbon,1.75L,4YR,80.0,$32.99 ,beam jim,59.17359843105431,32.99 ,4
STRAIGHT BOURBON WHISKEY,19063,Jim Beam Bourbon (plastic),200ml,4YR,80.0,$5.99 ,beam jim plastic,6.762696963549063,5.99 ,4
STRAIGHT BOURBON WHISKEY,19064,Jim Beam Bourbon (plastic),375ml,4YR,80.0,$9.99 ,beam jim plastic,12.680056806654495,9.99 ,4
STRAIGHT BOURBON WHISKEY,19082,Jim Beam Bourbon Operation Homefront (plastic),1.75L,,80.0,$31.99 ,beam homefront jim operation plastic,59.17359843105431,31.99 ,
STRAIGHT BOURBON WHISKEY,19111,Jim Beam Devil's Cut Bourbon,375ml,,90.0,$12.99 ,beam cut devil jim,12.680056806654495,12.99 ,
STRAIGHT BOURBON WHISKEY,19112,Jim Beam Devil's Cut Bourbon,750ml,,90.0,$24.99 ,beam cut devil jim,25.36011361330899,24.99 ,
STRAIGHT BOURBON WHISKEY,19115,Jim Beam Devil's Cut Replica,375ml,,90.0,$12.99 ,beam cut devil jim replica,12.680056806654495,12.99 ,
STRAIGHT BOURBON WHISKEY,19040,Jim Beam Distiller's Masterpiece,750ml,,100.0,$199.99 ,beam distiller jim masterpiece,25.36011361330899,199.99 ,
STRAIGHT BOURBON WHISKEY,19048,Jim Beam Double Oak,750ml,,86.0,$24.99 ,beam double jim oak,25.36011361330899,24.99 ,
STRAIGHT BOURBON WHISKEY,19036,Jim Beam Signature Craft 12 Year Bourbon,750ml,,86.0,$36.99 ,12 beam jim signature,25.36011361330899,36.99 ,
STRAIGHT BOURBON WHISKEY,19037,Jim Beam Signature Craft Quarter Cask Bourbon,750ml,,86.0,$36.99 ,beam cask jim quarter signature,25.36011361330899,36.99 ,
STRAIGHT BOURBON WHISKEY,19116,Jim Beam Single Barrel Bourbon,750ml,,95.0,$35.99 ,barrel beam jim single,25.36011361330899,35.99 ,
STRAIGHT BOURBON WHISKEY,19096,Jim Beam Traveler,750ml,4YR,80.0,$17.49 ,beam jim traveler,25.36011361330899,17.49 ,4
STRAIGHT BOURBON WHISKEY,100218,Jim Beam With State Coasters,750ml,,80.0,$17.49 ,beam coasters jim state with,25.36011361330899,17.49 ,
STRAIGHT BOURBON WHISKEY,16706,Jim Beam's Choice Bourbon,750ml,5YR,80.0,$19.99 ,beam choice jim,25.36011361330899,19.99 ,5
STRAIGHT BOURBON WHISKEY,19120,John B Stetson Bourbon,750ml,,84.0,$35.59 ,b john stetson,25.36011361330899,35.59 ,
STRAIGHT BOURBON WHISKEY,17022,John J Bowman Virginia Straight Bourbon,750ml,,100.0,$49.99 ,bowman j john straight virginia,25.36011361330899,49.99 ,
STRAIGHT BOURBON WHISKEY,27928,Joseph Magnus Bourbon,750ml,,100.0,$91.99 ,joseph magnus,25.36011361330899,91.99 ,
STRAIGHT BOURBON WHISKEY,19341,Kentucky Supreme No. 8 Bourbon,1.75L,,80.0,$18.49 ,8 kentucky supreme,59.17359843105431,18.49 ,
STRAIGHT BOURBON WHISKEY,20538,Kentucky Tavern Bourbon,1.75L,4YR,80.0,$17.79 ,kentucky tavern,59.17359843105431,17.79 ,4
STRAIGHT BOURBON WHISKEY,19227,Knob Creek,1L,,100.0,$45.99 ,creek knob,33.81348481774532,45.99 ,
STRAIGHT BOURBON WHISKEY,19221,Knob Creek,50ml,9YR,100.0,$3.99 ,creek knob,1.6906742408872657,3.99 ,9
STRAIGHT BOURBON WHISKEY,19240,Knob Creek 2001 Bourbon,750ml,15YR,100.0,$126.29 ,2001 creek knob,25.36011361330899,126.29 ,15
STRAIGHT BOURBON WHISKEY,19226,Knob Creek Bourbon,750ml,9YR,100.0,$33.99 ,creek knob,25.36011361330899,33.99 ,9
STRAIGHT BOURBON WHISKEY,19228,Knob Creek Bourbon,1.75L,9YR,100.0,$67.99 ,creek knob,59.17359843105431,67.99 ,9
STRAIGHT BOURBON WHISKEY,19224,Knob Creek Bourbon,375ml,9YR,100.0,$19.99 ,creek knob,12.680056806654495,19.99 ,9
STRAIGHT BOURBON WHISKEY,19235,Knob Creek Single Barrel Reserve,750ml,,120.0,$47.99 ,barrel creek knob reserve single,25.36011361330899,47.99 ,
STRAIGHT BOURBON WHISKEY,18858,Larceny Bourbon,1.75L,,92.0,$49.99 ,larceny,59.17359843105431,49.99 ,
STRAIGHT BOURBON WHISKEY,18852,Larceny Bourbon,50ml,,92.0,$1.59 ,larceny,1.6906742408872657,1.59 ,
STRAIGHT BOURBON WHISKEY,18856,Larceny Bourbon,750ml,,92.0,$29.99 ,larceny,25.36011361330899,29.99 ,
STRAIGHT BOURBON WHISKEY,19436,Lexington Bourbon,750ml,,86.0,$27.99 ,lexington,25.36011361330899,27.99 ,
STRAIGHT BOURBON WHISKEY,19485,Maker's Mark 46 Bourbon,375ml,,94.0,$22.99 ,46 maker mark,12.680056806654495,22.99 ,
STRAIGHT BOURBON WHISKEY,19486,Maker's Mark 46 Bourbon,750ml,,94.0,$39.99 ,46 maker mark,25.36011361330899,39.99 ,
STRAIGHT BOURBON WHISKEY,19562,Maker's Mark American Pharaoh,1L,,0.0,$74.99 ,american maker mark pharaoh,33.81348481774532,74.99 ,
STRAIGHT BOURBON WHISKEY,19473,Maker's Mark Bourbon,200ml,,90.0,$9.99 ,maker mark,6.762696963549063,9.99 ,
STRAIGHT BOURBON WHISKEY,19475,Maker's Mark Bourbon,375ml,,90.0,$18.49 ,maker mark,12.680056806654495,18.49 ,
STRAIGHT BOURBON WHISKEY,19471,Maker's Mark Bourbon,50ml,,90.0,$3.99 ,maker mark,1.6906742408872657,3.99 ,
